iter	Passed	Remaining
408	4897	7077
409	4909	7065
410	4921	7053
411	4933	7041
412	4945	7029
413	4956	7016
414	4968	7003
415	4981	6992
416	4993	6980
417	5004	6968
418	5017	6957
419	5029	6945
420	5041	6932
421	5053	6921
422	5065	6910
423	5077	6898
424	5089	6885
425	5102	6874
426	5115	6864
427	5127	6853
428	5137	6838
429	5150	6826
430	5162	6815
431	5175	6804
432	5188	6794
433	5201	6783
434	5212	6770
435	5224	6757
436	5237	6747
437	5249	6735
438	5261	6723
439	5273	6711
440	5285	6700
441	5298	6688
442	5309	6675
443	5320	6662
444	5331	6649
445	5343	6637
446	5355	6625
447	5366	6612
448	5378	6600
449	5390	6588
450	5402	6576
451	5413	6563
452	5423	6549
453	5436	6537
454	5447	6525
455	5459	6512
456	5471	6501
457	5482	6487
458	5495	6476
459	5507	6464
460	5519	6453
461	5531	6440
462	5541	6427
463	5552	6414
464	5565	6403
465	5578	6392
466	5590	6380
467	5602	6368
468	5614	6356
469	5625	6343
470	5636	6330
471	5648	6318
472	5659	6305
473	5670	6292
474	5681	6279
475	5693	6267
476	5707	6258
477	5718	6245
478	5731	6233
479	5744	6222
480	5755	6209
481	5766	6197
482	5778	6185
483	5788	6171
484	5800	6159
485	5812	6147
486	5824	6135
487	5835	6122
488	5846	6109
489	5858	6097
490	5870	6085
491	5879	6070
492	5892	6060
493	5905	6049
494	5918	6037
495	5930	6026
496	5942	6014
497	5953	6001
498	5965	5989
499	5977	5977
500	5988	5965
501	6000	5953
502	6012	5940
503	6023	5927
504	6034	5914
505	6044	5901
506	6056	5889
507	6068	5877
508	6079	5864
509	6090	5852
510	6102	5839
511	6113	5827
512	6126	5816
513	6138	5804
514	6150	5792
515	6162	5779
516	6173	5767
517	6185	5756
518	6198	5744
519	6211	5733
520	6224	5723
521	6237	5711
522	6250	5700
523	6262	5689
524	6275	5677
525	6287	5666
526	6299	5653
527	6311	5642
528	6324	5630
529	6334	5617
530	6346	5605
531	6358	5593
532	6369	5580
533	6381	5569
534	6394	5557
535	6403	5543
536	6415	5531
537	6426	5518
538	6438	5506
539	6452	5496
540	6464	5484
541	6475	5471
542	6487	5459
543	6498	5447
544	6510	5435
545	6523	5424
546	6535	5412
547	6548	5401
548	6560	5389
549	6571	5376
550	6583	5364
551	6594	5352
552	6606	5339
553	6618	5327
554	6629	5315
555	6641	5303
556	6653	5291
557	6666	5280
558	6677	5268
559	6689	5256
560	6700	5243
561	6711	5230
562	6723	5218
563	6734	5206
564	6744	5192
565	6756	5180
566	6766	5167
567	6778	5155
568	6790	5143
569	6801	5131
570	6812	5118
571	6824	5106
572	6835	5093
573	6848	5082
574	6859	5070
575	6870	5057
576	6883	5046
577	6894	5033
578	6906	5022
579	6917	5009
580	6928	4996
581	6940	4985
582	6951	4972
583	6963	4960
584	6974	4947
585	6985	4935
586	6996	4922
587	7008	4910
588	7019	4898
589	7031	4886
590	7043	4874
591	7054	4861
